Position,Dilution
A1,1.0
A2,1.0
A3,1.0
A4,1.0
A5,1.0
A6,1.0
A7,1.0
A8,1.0
A9,1.0
A10,1.0
A11,1.0
A12,1.0
B1,1.0
B2,1.0
B3,1.0
B4,1.0
B5,1.0
B6,1.0
B7,1.0
B8,1.0
B9,1.0
B10,1.0
B11,1.0
B12,1.0
C1,18.0
C2,19.1
C3,13.1
C4,15.8
C5,12.8
C6,10.0
C7,3.9
C8,6.4
C9,12.0
C10,17.8
C11,8.7
C12,15.3
D1,1.1
D2,15.9
D3,15.5
D4,19.2
D5,12.7
D6,17.5
D7,3.8
D8,7.6
D9,2.0
D10,4.0
D11,18.8
D12,5.5
E1,30.0
E2,22.0
E3,20.3
E4,24.5
E5,33.2
E6,27.5
E7,38.8
E8,36.1
E9,24.3
E10,31.2
E11,29.6
E12,29.5
F1,37.1
F2,34.0
F3,24.9
F4,36.0
F5,39.4
F6,22.5
F7,39.1
F8,26.0
F9,26.1
F10,27.1
F11,23.0
F12,25.5
G1,67.5
G2,48.5
G3,73.1
G4,77.0
G5,76.0
G6,77.1
G7,59.3
G8,46.7
G9,62.8
G10,52.7
G11,46.0
G12,66.4
H1,47.4
H2,65.2
H3,77.1
H4,48.4
H5,64.9
H6,43.9
H7,44.8
H8,72.7
H9,49.8
H10,70.8
H11,64.9
H12,44.3

